,code,market,date,name,close,totalchange,futureHigh,nextday open,nextday low,nextday high,nextday close,forecast,ratio
0,S 000001,主板,20220706,平安银行,14.53,0,0,0,0,0,0,不涨,0.0001821983460104093
1,S 000002,主板,20220706,万科A,19.47,0,0,0,0,0,0,不涨,0.0013452324783429503
2,S 000004,主板,20220706,ST国华,10.08,0,0,0,0,0,0,不涨,0.024142198264598846
3,S 000005,主板,20220706,ST星源,1.67,0,0,0,0,0,0,不涨,0.00627908343449235
4,S 000006,主板,20220706,深振业A,4.43,0,0,0,0,0,0,不涨,0.002897307276725769
5,S 000007,主板,20220706,*ST全新,7.6,0,0,0,0,0,0,不涨,0.029482752084732056
6,S 000008,主板,20220706,神州高铁,2.41,0,0,0,0,0,0,不涨,0.000231035883189179
7,S 000009,主板,20220706,中国宝安,13.36,0,0,0,0,0,0,不涨,0.00024202090571634471
8,S 000010,主板,20220706,美丽生态,3.68,0,0,0,0,0,0,不涨,0.01445092260837555
9,S 000011,主板,20220706,深物业A,12.8,0,0,0,0,0,0,不涨,0.004706185311079025
10,S 000012,主板,20220706,南玻A,7.18,0,0,0,0,0,0,不涨,0.0004843520582653582
11,S 000014,主板,20220706,沙河股份,8.44,0,0,0,0,0,0,不涨,0.007530644070357084
12,S 000016,主板,20220706,深康佳A,5.87,0,0,0,0,0,0,不涨,0.03566908836364746
13,S 000017,主板,20220706,深中华A,4.31,0,0,0,0,0,0,不涨,0.013159101828932762
14,S 000019,主板,20220706,深粮控股,7.6,0,0,0,0,0,0,不涨,0.0036558948922902346
15,S 000020,主板,20220706,深华发A,9.26,0,0,0,0,0,0,不涨,0.003563597332686186
16,S 000021,主板,20220706,深科技,11.12,0,0,0,0,0,0,不涨,0.005608499050140381
17,S 000023,主板,20220706,深天地A,11.25,0,0,0,0,0,0,不涨,0.003166413865983486
18,S 000025,主板,20220706,特力A,26.88,0,0,0,0,0,0,不涨,0.0329962819814682
19,S 000026,主板,20220706,飞亚达,9.98,0,0,0,0,0,0,不涨,0.006461594719439745
20,S 000027,主板,20220706,深圳能源,6.64,0,0,0,0,0,0,不涨,2.2683188944938593e-05
21,S 000028,主板,20220706,国药一致,29.15,0,0,0,0,0,0,不涨,0.00029822305077686906
22,S 000029,主板,20220706,深深房A,11.24,0,0,0,0,0,0,不涨,0.000894571712706238
23,S 000030,主板,20220706,富奥股份,5.79,0,0,0,0,0,0,不涨,0.005021183751523495
24,S 000031,主板,20220706,大悦城,3.74,0,0,0,0,0,0,不涨,0.0015391097404062748
25,S 000032,主板,20220706,深桑达A,14.7,0,0,0,0,0,0,不涨,0.0007423440692946315
26,S 000034,主板,20220706,神州数码,15.2,0,0,0,0,0,0,不涨,0.004213438834995031
